name,type,value,date
g,울산광역시,1156480,2013-01-01
h,세종특별자치시,122153,2013-01-01
i,경기도,12234630,2013-01-01
j,강원도,1542263,2013-01-01
k,충청북도,1572732,2013-01-01
l,충청남도,2047631,2013-01-01
m,전라북도,1872965,2013-01-01
n,전라남도,1907172,2013-01-01
o,경상북도,2699440,2013-01-01
p,경상남도,3333820,2013-01-01
q,제주특별자치도,593806,2013-01-01
a,서울특별시,10103233,2014-01-01
b,부산광역시,3519401,2014-01-01
c,대구광역시,2493264,2014-01-01
d,인천광역시,2902608,2014-01-01
e,광주광역시,1475884,2014-01-01
f,대전광역시,1531809,2014-01-01
g,울산광역시,1166377,2014-01-01
h,세종특별자치시,156125,2014-01-01
i,경기도,12357830,2014-01-01
j,강원도,1544442,2014-01-01
k,충청북도,1578933,2014-01-01
l,충청남도,2062273,2014-01-01
m,전라북도,1871560,2014-01-01
n,전라남도,1905780,2014-01-01
o,경상북도,2700794,2014-01-01
p,경상남도,3350257,2014-01-01
q,제주특별자치도,607346,2014-01-01
a,서울특별시,10022181,2015-01-01
b,부산광역시,3513777,2015-01-01
c,대구광역시,2487829,2015-01-01
d,인천광역시,2925815,2015-01-01
e,광주광역시,1472199,2015-01-01
f,대전광역시,1518775,2015-01-01
g,울산광역시,1173534,2015-01-01
h,세종특별자치시,210884,2015-01-01
i,경기도,12522606,2015-01-01
j,강원도,1549507,2015-01-01
k,충청북도,1583952,2015-01-01
l,충청남도,2077649,2015-01-01
m,전라북도,1869711,2015-01-01
n,전라남도,1908996,2015-01-01
o,경상북도,2702826,2015-01-01
p,경상남도,3364702,2015-01-01
q,제주특별자치도,624395,2015-01-01
a,서울특별시,9930616,2016-01-01
b,부산광역시,3498529,2016-01-01
c,대구광역시,2484557,2016-01-01
d,인천광역시,2943069,2016-01-01
e,광주광역시,1469214,2016-01-01
f,대전광역시,1514370,2016-01-01
g,울산광역시,1172304,2016-01-01
h,세종특별자치시,243048,2016-01-01
i,경기도,12716780,2016-01-01
j,강원도,1550806,2016-01-01
k,충청북도,1591625,2016-01-01
l,충청남도,2096727,2016-01-01
m,전라북도,1864791,2016-01-01
n,전라남도,1903914,2016-01-01
o,경상북도,2700398,2016-01-01
p,경상남도,3373871,2016-01-01
q,제주특별자치도,641597,2016-01-01
a,서울특별시,9857426,2017-01-01
b,부산광역시,3470653,2017-01-01
c,대구광역시,2475231,2017-01-01
d,인천광역시,2948542,2017-01-01
e,광주광역시,1463770,2017-01-01
f,대전광역시,1502227,2017-01-01
g,울산광역시,1165132,2017-01-01
h,세종특별자치시,280100,2017-01-01
i,경기도,12873895,2017-01-01
j,강원도,1550142,2017-01-01
k,충청북도,1594432,2017-01-01
l,충청남도,2116770,2017-01-01
m,전라북도,1854607,2017-01-01
n,전라남도,1896424,2017-01-01
o,경상북도,2691706,2017-01-01
p,경상남도,3380404,2017-01-01
q,제주특별자치도,657083,2017-01-01
a,서울특별시,9765623,2018-01-01
b,부산광역시,3441453,2018-01-01
c,대구광역시,2461769,2018-01-01
d,인천광역시,2954642,2018-01-01
e,광주광역시,1459336,2018-01-01
f,대전광역시,1489936,2018-01-01
g,울산광역시,1155623,2018-01-01
h,세종특별자치시,314126,2018-01-01
i,경기도,13077153,2018-01-01
j,강원도,1543052,2018-01-01
k,충청북도,1599252,2018-01-01
l,충청남도,2126282,2018-01-01
m,전라북도,1836832,2018-01-01
n,전라남도,1882970,2018-01-01
o,경상북도,2676831,2018-01-01
p,경상남도,3373988,2018-01-01
q,제주특별자치도,667191,2018-01-01
a,서울특별시,9729107,2019-01-01
b,부산광역시,3413841,2019-01-01
c,대구광역시,2438031,2019-01-01
d,인천광역시,2957026,2019-01-01
e,광주광역시,1456468,2019-01-01
f,대전광역시,1474870,2019-01-01
g,울산광역시,1148019,2019-01-01
h,세종특별자치시,340575,2019-01-01
i,경기도,13239666,2019-01-01
j,강원도,1541502,2019-01-01
k,충청북도,1600007,2019-01-01
l,충청남도,2123709,2019-01-01
m,전라북도,1818917,2019-01-01
n,전라남도,1868745,2019-01-01
o,경상북도,2665836,2019-01-01
p,경상남도,3362553,2019-01-01
q,제주특별자치도,670989,2019-01-01
a,서울특별시,9736962,2020-02-01
b,부산광역시,3410925,2020-02-01
c,대구광역시,2432883,2020-02-01
d,인천광역시,2954955,2020-02-01
e,광주광역시,1456121,2020-02-01
f,대전광역시,1473125,2020-02-01
g,울산광역시,1145710,2020-02-01
h,세종특별자치시,343788,2020-02-01
i,경기도,13265377,2020-02-01
j,강원도,1539521,2020-02-01
k,충청북도,1598599,2020-02-01
l,충청남도,2120995,2020-02-01
m,전라북도,1815112,2020-02-01
n,전라남도,1861894,2020-02-01
o,경상북도,2658956,2020-02-01
p,경상남도,3358828,2020-02-01
q,제주특별자치도,670876,2020-02-01
